date,pm10,pm2_5,carbon_monoxide,carbon_dioxide,uv_index,eu_aqi
2024-11-04 00:00:00+00:00,20.5,17.9,217.0,457.0,0.0,26.93333
2024-11-04 01:00:00+00:00,19.3,16.3,208.0,458.0,0.0,27.08333
2024-11-04 02:00:00+00:00,17.6,15.5,206.0,462.0,0.0,27.08333
2024-11-04 03:00:00+00:00,17.2,14.0,202.0,466.0,0.0,27.024998
2024-11-04 04:00:00+00:00,16.8,14.3,200.0,472.0,0.0,27.049997
2024-11-04 05:00:00+00:00,18.5,15.7,205.0,478.0,0.0,27.324999
2024-11-04 06:00:00+00:00,22.9,19.1,244.0,480.0,0.05,27.683334
2024-11-04 07:00:00+00:00,27.5,21.6,263.0,474.0,0.25,28.175001
2024-11-04 08:00:00+00:00,28.9,22.5,264.0,464.0,0.75,29.0
2024-11-04 09:00:00+00:00,26.7,20.2,243.0,456.0,1.45,30.066666
2024-11-04 10:00:00+00:00,25.6,21.0,233.0,452.0,1.95,31.058334
2024-11-04 11:00:00+00:00,24.2,17.2,221.0,450.0,2.0,32.183334
2024-11-04 12:00:00+00:00,21.7,15.6,202.0,448.0,1.7,33.041668
2024-11-04 13:00:00+00:00,19.9,14.5,201.0,444.0,1.0,33.775005
2024-11-04 14:00:00+00:00,20.0,15.9,209.0,440.0,0.4,34.375004
2024-11-04 15:00:00+00:00,22.4,17.7,245.0,439.0,0.05,35.050003
2024-11-04 16:00:00+00:00,26.8,22.6,302.0,445.0,0.0,35.84167
2024-11-04 17:00:00+00:00,35.1,29.8,332.0,454.0,0.0,36.650005
2024-11-04 18:00:00+00:00,37.7,32.3,369.0,461.0,0.0,37.93334
2024-11-04 19:00:00+00:00,43.4,38.3,407.0,465.0,0.0,39.19167
2024-11-04 20:00:00+00:00,49.8,45.3,428.0,467.0,0.0,40.9
2024-11-04 21:00:00+00:00,52.0,47.2,422.0,467.0,0.0,44.85
2024-11-04 22:00:00+00:00,52.4,48.2,405.0,464.0,0.0,49.08332
2024-11-04 23:00:00+00:00,38.0,35.0,363.0,460.0,0.0,53.63333
2024-11-05 00:00:00+00:00,36.5,34.5,348.0,457.0,0.0,56.283325
2024-11-05 01:00:00+00:00,36.5,35.4,328.0,458.0,0.0,59.049995
2024-11-05 02:00:00+00:00,36.0,34.0,295.0,461.0,0.0,60.446667
2024-11-05 03:00:00+00:00,37.2,32.1,292.0,463.0,0.0,61.06333
2024-11-05 04:00:00+00:00,36.4,30.7,293.0,463.0,0.0,61.666664
2024-11-05 05:00:00+00:00,36.4,30.6,292.0,461.0,0.0,62.213333
2024-11-05 06:00:00+00:00,38.6,32.1,324.0,459.0,0.05,62.71
2024-11-05 07:00:00+00:00,40.0,32.9,331.0,456.0,0.3,63.143333
2024-11-05 08:00:00+00:00,40.0,32.6,304.0,453.0,0.85,63.519997
2024-11-05 09:00:00+00:00,33.3,28.1,285.0,450.0,1.45,63.856667
2024-11-05 10:00:00+00:00,31.9,26.4,277.0,447.0,1.9,64.12
2024-11-05 11:00:00+00:00,30.5,24.8,258.0,443.0,1.9,64.299995
2024-11-05 12:00:00+00:00,28.4,24.0,239.0,441.0,1.3,64.55333
2024-11-05 13:00:00+00:00,26.0,23.6,233.0,439.0,0.75,64.83333
2024-11-05 14:00:00+00:00,25.7,22.3,228.0,438.0,0.3,65.136665
2024-11-05 15:00:00+00:00,27.6,23.0,238.0,441.0,0.05,65.35
2024-11-05 16:00:00+00:00,34.8,30.0,286.0,450.0,0.0,65.526665
2024-11-05 17:00:00+00:00,42.1,38.8,339.0,463.0,0.0,65.77333
2024-11-05 18:00:00+00:00,46.6,42.1,376.0,473.0,0.0,66.07333
2024-11-05 19:00:00+00:00,50.2,43.8,409.0,478.0,0.0,66.4
2024-11-05 20:00:00+00:00,49.5,42.0,441.0,480.0,0.0,66.583336
2024-11-05 21:00:00+00:00,47.1,41.2,428.0,481.0,0.0,66.47333
2024-11-05 22:00:00+00:00,42.7,39.1,404.0,482.0,0.0,66.27333
2024-11-05 23:00:00+00:00,37.0,34.6,354.0,483.0,0.0,65.96999
2024-11-06 00:00:00+00:00,34.1,30.2,300.0,482.0,0.0,65.95666
2024-11-06 01:00:00+00:00,32.1,28.5,273.0,479.0,0.0,65.81333
2024-11-06 02:00:00+00:00,31.2,27.6,259.0,476.0,0.0,65.583336
2024-11-06 03:00:00+00:00,31.5,27.8,257.0,475.0,0.0,65.369995
2024-11-06 04:00:00+00:00,34.5,30.4,263.0,480.0,0.0,65.22666
2024-11-06 05:00:00+00:00,38.0,33.9,274.0,487.0,0.0,65.21667
2024-11-06 06:00:00+00:00,42.5,35.8,306.0,489.0,0.05,65.32667
2024-11-06 07:00:00+00:00,44.1,38.2,340.0,480.0,0.25,65.45
2024-11-06 08:00:00+00:00,42.7,36.7,344.0,466.0,0.65,65.62667
2024-11-06 09:00:00+00:00,39.6,34.6,338.0,455.0,1.25,65.76333
2024-11-06 10:00:00+00:00,40.0,34.0,294.0,452.0,1.65,65.98
2024-11-06 11:00:00+00:00,39.1,34.6,272.0,452.0,1.75,66.23334
2024-11-06 12:00:00+00:00,34.7,31.5,260.0,452.0,1.4,66.56
2024-11-06 13:00:00+00:00,32.5,28.9,260.0,448.0,0.85,66.810005
2024-11-06 14:00:00+00:00,33.8,31.4,270.0,444.0,0.35,66.986664
2024-11-06 15:00:00+00:00,36.7,33.4,310.0,443.0,0.05,67.29
2024-11-06 16:00:00+00:00,39.8,36.0,357.0,450.0,0.0,67.636665
2024-11-06 17:00:00+00:00,49.5,44.5,382.0,460.0,0.0,67.83667
2024-11-06 18:00:00+00:00,55.0,49.9,411.0,468.0,0.0,68.026665
2024-11-06 19:00:00+00:00,58.2,53.3,498.0,471.0,0.0,68.286674
2024-11-06 20:00:00+00:00,56.0,50.6,483.0,473.0,0.0,68.60333
2024-11-06 21:00:00+00:00,56.6,51.0,477.0,473.0,0.0,68.89001
2024-11-06 22:00:00+00:00,53.6,48.2,445.0,473.0,0.0,69.216675
2024-11-06 23:00:00+00:00,50.7,45.7,397.0,473.0,0.0,69.520004
2024-11-07 00:00:00+00:00,50.5,43.1,344.0,472.0,0.0,69.89
2024-11-07 01:00:00+00:00,46.5,42.7,324.0,469.0,0.0,70.31999
2024-11-07 02:00:00+00:00,43.7,40.5,299.0,466.0,0.0,70.793335
2024-11-07 03:00:00+00:00,43.2,39.1,305.0,463.0,0.0,71.22333
2024-11-07 04:00:00+00:00,44.1,40.0,296.0,463.0,0.0,71.6
2024-11-07 05:00:00+00:00,47.4,42.5,314.0,464.0,0.0,71.92
2024-11-07 06:00:00+00:00,54.7,47.3,346.0,464.0,0.05,72.206665
2024-11-07 07:00:00+00:00,53.9,48.6,351.0,461.0,0.25,72.59
2024-11-07 08:00:00+00:00,44.3,39.7,374.0,457.0,0.7,72.93666
2024-11-07 09:00:00+00:00,42.7,39.1,350.0,454.0,1.25,73.03666
2024-11-07 10:00:00+00:00,47.7,42.2,331.0,452.0,1.65,73.18666
2024-11-07 11:00:00+00:00,46.5,42.3,314.0,451.0,1.65,73.46
2024-11-07 12:00:00+00:00,42.2,39.3,287.0,450.0,1.25,73.71667
2024-11-07 13:00:00+00:00,39.4,36.6,285.0,447.0,0.75,73.97666
2024-11-07 14:00:00+00:00,38.2,36.0,292.0,445.0,0.3,74.23333
2024-11-07 15:00:00+00:00,38.3,34.4,304.0,446.0,0.05,74.386665
2024-11-07 16:00:00+00:00,43.1,39.4,343.0,454.0,0.0,74.42
2024-11-07 17:00:00+00:00,48.9,45.5,397.0,466.0,0.0,74.53333
2024-11-07 18:00:00+00:00,56.2,51.3,456.0,474.0,0.0,74.566666
2024-11-07 19:00:00+00:00,62.7,56.0,513.0,476.0,0.0,74.613335
2024-11-07 20:00:00+00:00,66.1,58.7,519.0,475.0,0.0,74.70333
2024-11-07 21:00:00+00:00,67.1,59.1,506.0,474.0,0.0,74.97333
2024-11-07 22:00:00+00:00,59.5,55.5,477.0,472.0,0.0,75.24333
2024-11-07 23:00:00+00:00,58.3,51.7,441.0,470.0,0.0,75.48667
2024-11-08 00:00:00+00:00,53.9,47.8,393.0,468.0,0.0,75.68666
2024-11-08 01:00:00+00:00,50.7,47.5,339.0,466.0,0.0,75.84334
2024-11-08 02:00:00+00:00,45.5,41.1,305.0,465.0,0.0,76.003334
2024-11-08 03:00:00+00:00,50.1,46.1,321.0,465.0,0.0,76.02334
2024-11-08 04:00:00+00:00,51.3,45.8,327.0,468.0,0.0,76.25667
2024-11-08 05:00:00+00:00,48.6,42.7,359.0,471.0,0.0,76.45
2024-11-08 06:00:00+00:00,49.2,45.7,370.0,472.0,0.0,76.456665
2024-11-08 07:00:00+00:00,53.7,49.1,374.0,466.0,0.15,76.403336
2024-11-08 08:00:00+00:00,49.9,45.3,361.0,457.0,0.4,76.41999
2024-11-08 09:00:00+00:00,46.4,42.6,337.0,450.0,0.75,76.60667
2024-11-08 10:00:00+00:00,46.4,42.7,315.0,447.0,1.1,76.723335
2024-11-08 11:00:00+00:00,40.4,37.3,301.0,446.0,1.25,76.73999
2024-11-08 12:00:00+00:00,38.5,35.0,274.0,445.0,1.1,76.573326
2024-11-08 13:00:00+00:00,36.5,33.0,275.0,443.0,0.65,76.42999
2024-11-08 14:00:00+00:00,38.5,34.4,283.0,442.0,0.3,76.31
2024-11-08 15:00:00+00:00,40.2,35.8,299.0,444.0,0.05,76.25667
2024-11-08 16:00:00+00:00,44.9,40.8,348.0,452.0,0.0,76.30334
2024-11-08 17:00:00+00:00,55.7,48.7,383.0,463.0,0.0,76.350006
2024-11-08 18:00:00+00:00,62.7,54.7,413.0,470.0,0.0,76.456665
2024-11-08 19:00:00+00:00,64.9,61.4,436.0,469.0,0.0,76.56999
2024-11-08 20:00:00+00:00,64.8,61.5,447.0,463.0,0.0,76.75
2024-11-08 21:00:00+00:00,68.0,60.4,446.0,459.0,0.0,76.84333
2024-11-08 22:00:00+00:00,61.2,55.8,429.0,459.0,0.0,76.886665
2024-11-08 23:00:00+00:00,58.7,51.8,384.0,460.0,0.0,76.896675
2024-11-09 00:00:00+00:00,55.3,50.3,337.0,461.0,0.0,76.90001
2024-11-09 01:00:00+00:00,49.1,44.7,293.0,463.0,0.0,76.98334
2024-11-09 02:00:00+00:00,46.7,43.2,283.0,464.0,0.0,76.89
2024-11-09 03:00:00+00:00,44.5,41.4,299.0,465.0,0.0,76.96
2024-11-09 04:00:00+00:00,49.0,45.7,299.0,463.0,0.0,76.80333
2024-11-09 05:00:00+00:00,50.2,47.4,308.0,460.0,0.0,76.799995
2024-11-09 06:00:00+00:00,50.8,46.9,311.0,457.0,0.0,76.956665
2024-11-09 07:00:00+00:00,48.5,46.3,306.0,453.0,0.15,76.99667
2024-11-09 08:00:00+00:00,47.7,44.6,293.0,449.0,0.5,76.903336
2024-11-09 09:00:00+00:00,45.9,42.5,291.0,446.0,1.05,76.880005
2024-11-09 10:00:00+00:00,43.3,40.1,268.0,445.0,1.45,76.87667
2024-11-09 11:00:00+00:00,41.0,37.8,261.0,444.0,1.5,76.79
2024-11-09 12:00:00+00:00,38.1,33.0,243.0,444.0,1.25,76.80667
2024-11-09 13:00:00+00:00,38.8,33.9,252.0,442.0,0.75,76.740005
2024-11-09 14:00:00+00:00,37.8,35.3,260.0,440.0,0.3,76.770004
2024-11-09 15:00:00+00:00,39.0,36.4,274.0,441.0,0.05,76.8
2024-11-09 16:00:00+00:00,46.7,42.8,305.0,449.0,0.0,76.82
2024-11-09 17:00:00+00:00,56.4,52.9,359.0,461.0,0.0,76.886665
2024-11-09 18:00:00+00:00,64.8,58.5,390.0,468.0,0.0,77.026665
2024-11-09 19:00:00+00:00,61.3,58.7,415.0,467.0,0.0,77.15333
2024-11-09 20:00:00+00:00,60.4,55.7,422.0,462.0,0.0,77.06333
2024-11-09 21:00:00+00:00,58.6,54.8,414.0,458.0,0.0,76.869995
2024-11-09 22:00:00+00:00,54.8,49.9,389.0,458.0,0.0,76.683334
2024-11-09 23:00:00+00:00,58.5,54.9,348.0,460.0,0.0,76.48667
2024-11-10 00:00:00+00:00,48.2,43.5,304.0,461.0,0.0,76.590004
2024-11-10 01:00:00+00:00,42.6,37.9,282.0,461.0,0.0,76.363335
2024-11-10 02:00:00+00:00,41.5,36.2,269.0,460.0,0.0,76.13667
2024-11-10 03:00:00+00:00,39.5,35.3,263.0,460.0,0.0,75.90333
2024-11-10 04:00:00+00:00,39.6,35.6,258.0,461.0,0.0,75.700005
2024-11-10 05:00:00+00:00,41.1,38.3,260.0,463.0,0.0,75.36333
2024-11-10 06:00:00+00:00,43.3,38.4,265.0,462.0,0.0,75.06
2024-11-10 07:00:00+00:00,43.1,40.2,292.0,457.0,0.2,74.77667
2024-11-10 08:00:00+00:00,44.4,39.3,280.0,450.0,0.65,74.57333
2024-11-10 09:00:00+00:00,44.0,40.6,249.0,445.0,1.15,74.39667
2024-11-10 10:00:00+00:00,42.0,37.4,244.0,443.0,1.5,74.333336
2024-11-10 11:00:00+00:00,41.0,37.2,245.0,442.0,1.5,74.24333
2024-11-10 12:00:00+00:00,37.4,35.3,244.0,441.0,1.15,74.223335
2024-11-10 13:00:00+00:00,38.3,35.2,244.0,439.0,0.65,74.299995
2024-11-10 14:00:00+00:00,35.2,32.2,252.0,438.0,0.25,74.34333
2024-11-10 15:00:00+00:00,36.2,33.1,263.0,439.0,0.05,74.24
2024-11-10 16:00:00+00:00,37.3,34.7,296.0,445.0,0.0,74.130005
2024-11-10 17:00:00+00:00,45.0,41.4,355.0,454.0,0.0,73.86
2024-11-10 18:00:00+00:00,50.4,46.3,365.0,461.0,0.0,73.47667
2024-11-10 19:00:00+00:00,56.7,52.3,401.0,463.0,0.0,73.07
2024-11-10 20:00:00+00:00,63.0,58.2,418.0,464.0,0.0,72.85667
2024-11-10 21:00:00+00:00,44.7,41.8,404.0,465.0,0.0,72.939995
2024-11-10 22:00:00+00:00,44.1,41.2,378.0,469.0,0.0,72.50667
2024-11-10 23:00:00+00:00,44.1,39.5,349.0,473.0,0.0,72.21666
2024-11-11 00:00:00+00:00,43.2,37.9,326.0,474.0,0.0,71.70333
2024-11-11 01:00:00+00:00,39.1,34.4,327.0,468.0,0.0,71.51666
2024-11-11 02:00:00+00:00,37.5,33.2,314.0,460.0,0.0,71.4
2024-11-11 03:00:00+00:00,36.6,32.4,305.0,453.0,0.0,71.3
2024-11-11 04:00:00+00:00,36.6,32.3,299.0,452.0,0.0,71.20334
2024-11-11 05:00:00+00:00,38.8,36.8,302.0,453.0,0.0,71.09334
2024-11-11 06:00:00+00:00,39.0,36.3,311.0,453.0,0.0,71.043335
2024-11-11 07:00:00+00:00,41.9,36.3,312.0,452.0,0.05,70.97334
2024-11-11 08:00:00+00:00,40.7,35.8,310.0,450.0,0.2,70.84334
2024-11-11 09:00:00+00:00,39.9,34.3,305.0,448.0,0.45,70.72667
2024-11-11 10:00:00+00:00,36.7,30.9,268.0,446.0,0.75,70.51667
2024-11-11 11:00:00+00:00,33.3,27.9,253.0,445.0,0.95,70.3
2024-11-11 12:00:00+00:00,31.1,26.6,238.0,444.0,0.65,69.99
2024-11-11 13:00:00+00:00,31.9,26.3,236.0,443.0,0.4,69.700005
2024-11-11 14:00:00+00:00,31.2,27.4,240.0,443.0,0.15,69.403336
2024-11-11 15:00:00+00:00,34.5,28.5,254.0,444.0,0.0,69.24333
2024-11-11 16:00:00+00:00,33.8,30.2,265.0,447.0,0.0,69.09
2024-11-11 17:00:00+00:00,43.9,33.6,286.0,452.0,0.0,68.94
2024-11-11 18:00:00+00:00,46.4,36.7,324.0,455.0,0.0,68.68
2024-11-11 19:00:00+00:00,49.3,40.8,341.0,455.0,0.0,68.36
2024-11-11 20:00:00+00:00,49.5,44.1,347.0,453.0,0.0,67.97667
2024-11-11 21:00:00+00:00,50.6,47.9,354.0,453.0,0.0,67.50666
2024-11-11 22:00:00+00:00,49.9,46.7,346.0,456.0,0.0,67.71
2024-11-11 23:00:00+00:00,47.6,44.9,344.0,460.0,0.0,67.89333
2024-11-12 00:00:00+00:00,43.4,41.7,309.0,462.0,0.0,68.07333
2024-11-12 01:00:00+00:00,41.3,37.2,301.0,460.0,0.0,68.200005
2024-11-12 02:00:00+00:00,38.6,34.8,314.0,455.0,0.0,68.293335
2024-11-12 03:00:00+00:00,38.1,35.6,308.0,452.0,0.0,68.346664
2024-11-12 04:00:00+00:00,36.4,31.8,291.0,452.0,0.0,68.45334
2024-11-12 05:00:00+00:00,36.2,31.6,289.0,453.0,0.0,68.43667
2024-11-12 06:00:00+00:00,35.3,32.1,279.0,453.0,0.0,68.26333
2024-11-12 07:00:00+00:00,34.6,32.5,273.0,451.0,0.1,68.12333
2024-11-12 08:00:00+00:00,34.0,30.7,263.0,449.0,0.25,67.996666
2024-11-12 09:00:00+00:00,28.7,26.8,246.0,447.0,0.45,67.82666
2024-11-12 10:00:00+00:00,25.5,23.7,231.0,446.0,0.6,67.57667
2024-11-12 11:00:00+00:00,23.1,21.4,221.0,445.0,0.7,67.33666
2024-11-12 12:00:00+00:00,22.6,20.0,208.0,445.0,0.7,67.119995
2024-11-12 13:00:00+00:00,23.2,19.6,208.0,444.0,0.4,66.9
2024-11-12 14:00:00+00:00,23.7,20.9,218.0,444.0,0.15,66.67667
2024-11-12 15:00:00+00:00,24.7,20.8,239.0,445.0,0.0,66.46
2024-11-12 16:00:00+00:00,27.4,22.0,250.0,448.0,0.0,66.20333
2024-11-12 17:00:00+00:00,30.0,23.7,290.0,452.0,0.0,65.93001
2024-11-12 18:00:00+00:00,33.3,28.7,296.0,455.0,0.0,65.600006
2024-11-12 19:00:00+00:00,36.7,32.5,322.0,457.0,0.0,65.333336
2024-11-12 20:00:00+00:00,39.4,35.0,340.0,459.0,0.0,65.05667
